Key,Comment,en,en-GB,de,es,
SETTINGS_ALERT_MESSAGE_ACCESS_TO_ASSETS_DISABLED_IOS6_SHORT,"Settings: Alert message, Short iOS 6+ message to be shown when access to assets is disabled.",Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud.,Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud.,Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud.,Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud.,
UPLOAD_ALERT_MESSAGE_ACCESS_TO_ASSETS_DISABLED_IOS_SIX_PLUS,"Upload: Alert message, Long iOS 6+ message to be shown when access to assets is disabled.",Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud. This is because your photos may contain details about where the photo was taken.,Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud. This is because your photos may contain details about where the photo was taken.,Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud. This is because your photos may contain details about where the photo was taken.,Cloud needs your permission to access your photos. Go to Settings > Privacy > Photos > Cloud. This is because your photos may contain details about where the photo was taken.,
SETTINGS_ALERT_MESSAGE_ACCESS_TO_ASSETS_DISABLED_IOS5_SHORT,"Settings: Alert message, Short iOS 5- message to be shown when access to assets is disabled.",Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud.,Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud.,Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud.,Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud.,
UPLOAD_ALERT_MESSAGE_ACCESS_TO_ASSETS_DISABLED_IOS5,"Upload: Alert message, Long iOS 5- message to be shown when access to assets is disabled ",Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud. This is because your photos may contain details about where the photo was taken.,Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud. This is because your photos may contain details about where the photo was taken.,Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud. This is because your photos may contain details about where the photo was taken.,Cloud needs your permission to access your photos. Go to Settings > Location Services > Cloud. This is because your photos may contain details about where the photo was taken.,
IAP_ALERT_TITLE_CONFIRM_USER_ACCOUNT,Title of alert that shows up when the user is asked to confirm the account,Confirm account,Confirm account,Confirm account,Confirm account,
IAP_ALERT_MESSAGE_CONFIRM_USER_ACCOUNT,Message of alert that shows up when the user is asked to confirm the account,You are upgrading account %@. If you wish to upgrade another account please log in with a different account and select the upgrade option again. Continue?,You are upgrading account %@. If you wish to upgrade another account please log in with a different account and select the upgrade option again. Continue?,You are upgrading account %@. If you wish to upgrade another account please log in with a different account and select the upgrade option again. Continue?,You are upgrading account %@. If you wish to upgrade another account please log in with a different account and select the upgrade option again. Continue?,
IAP_ALERT_MESSAGE_ERROR_UPGRADING_ON_BACKEND,Recovery suggestion when the Tariff API does not return a proper response during a upgrade,Cloud will automatically retry upgrading your storage,Cloud will automatically retry upgrading your storage,Cloud will automatically retry upgrading your storage,Cloud will automatically retry upgrading your storage,
IAP_ALERT_MESSAGE_ERROR_FINALIZING_PURCHASE,Message of alert that shows up when the upgrade call fails on the backend,An error has occured while finalizing your purchase.,An error has occured while finalizing your purchase.,An error has occured while finalizing your purchase.,An error has occured while finalizing your purchase.,
IAP_ALERT_TITLE_ERROR_FINALIZING_PURCHASE,Title of alert that shows up when the upgrade call fails on the backend,We're sorry,We're sorry,We're sorry,We're sorry,
IAP_ALERT_MESSAGE_ERROR_UNIFINISHED_PURCHASE,Recovery suggestion when the user tries to purchase a upgrade while there is another one in progress.,Tap OK to resume the upgrade process,Tap OK to resume the upgrade process,Tap OK to resume the upgrade process,Tap OK to resume the upgrade process,
